Ma_BDS,Loai_tien_ich,Ten_tien_ich,Khoảng cách
SA27D5,chợ,Chợ Hiệp Bình Phước,1800.0
SA27D5,chợ,Chợ Hiệp Bình Chánh,1900.0
SA27D5,trường học,Trường Trung học phổ thông Hiệp Bình,172.0
SA27D5,trường học,Trường Tiểu học Đào Sơn Tây,203.0
SA27D5,trường học,Tiểu học Hiệp Bình Phước,662.0
SA27D5,bệnh viện,Bệnh viện Đại học Quốc tế Hồng Bàng,1400.0
SA27D5,siêu thị,Co.op Food KDC Thanh Niên,37.0
SA27D5,siêu thị,Phim cách nhiệt nhà kính NanoX,1400.0
SA27D5,siêu thị,Siêu thị Co.opMart Bình Triệu,1800.0
SA27D5,trung tâm thương mại,thom,828.0
